angle,label,score
28,Drawing,0.7246490716934204
28,Sketch,0.6754698753356934
28,Horse,0.6726329326629639
28,Illustration,0.6017356514930725
28,Wood,0.5958532094955444
28,Wildlife,0.5761504173278809
29,Drawing,0.7246490716934204
29,Sketch,0.6862205266952515
29,Illustration,0.6017356514930725
29,Wildlife,0.5761504173278809
30,Head,0.8901773691177368
30,Drawing,0.8313954472541809
30,Sketch,0.814556896686554
30,Illustration,0.6225569844245911
30,Wildlife,0.5761504173278809
30,Art,0.502187192440033
31,Drawing,0.760521650314331
31,Sketch,0.7206135392189026
31,Illustration,0.6225569844245911
31,Rock,0.5422748923301697
31,Art,0.502187192440033
32,Drawing,0.7915089130401611
32,Sketch,0.7605001926422119
32,Rock,0.6438128352165222
32,Illustration,0.6225569844245911
32,Wildlife,0.5761504173278809
33,Head,0.8762359619140625
33,Drawing,0.832910418510437
33,Sketch,0.8129605054855347
33,Illustration,0.6225569844245911
33,Art,0.5813031792640686
33,Rock,0.5422748923301697
34,Head,0.8842743635177612
34,Drawing,0.852958083152771
34,Sketch,0.8476868271827698
34,Hand,0.6600293517112732
34,Illustration,0.6554555892944336
34,Art,0.5813031792640686
34,Pattern,0.5630630254745483
34,Rock,0.5422748923301697
35,Head,0.8762359619140625
35,Drawing,0.8480438590049744
35,Sketch,0.8311896324157715
35,Illustration,0.6225569844245911
35,Art,0.5813031792640686
36,Head,0.8842743635177612
36,Drawing,0.862036943435669
36,Sketch,0.8603838086128235
36,Illustration,0.6554555892944336
36,Wildlife,0.5761504173278809
36,Art,0.502187192440033
37,Head,0.8762359619140625
37,Drawing,0.8428384065628052
37,Sketch,0.8253272175788879
37,Illustration,0.6912711262702942
37,Art,0.502187192440033
38,Drawing,0.8250590562820435
38,Sketch,0.8097212314605713
38,Illustration,0.6806615591049194
38,Wood,0.5958532094955444
39,Head,0.8762359619140625
39,Sketch,0.8515863418579102
39,Drawing,0.8428384065628052
39,Illustration,0.7008524537086487
39,Art,0.5813031792640686
40,Sketch,0.8868975043296814
40,Drawing,0.8702816367149353
40,Illustration,0.7175435423851013
40,Tree,0.6869218349456787
40,Rock,0.6438128352165222
40,Art,0.502187192440033
41,Sketch,0.9078872203826904
41,Drawing,0.9012458920478821
41,Head,0.8901773691177368
41,Illustration,0.7095673680305481
41,Art,0.5813031792640686
41,Fictional character,0.5279175639152527
41,Artwork,0.5229488015174866
42,Sketch,0.8912155628204346
42,Drawing,0.8805356025695801
42,Illustration,0.7008524537086487
42,Hand,0.6600293517112732
42,Art,0.6253476738929749
42,Artwork,0.5433015823364258
42,Rock,0.5422748923301697
42,Fictional character,0.5279175639152527
43,Sketch,0.8890653848648071
43,Drawing,0.8865323662757874
43,Head,0.8762359619140625
43,Illustration,0.6912711262702942
43,Art,0.655128538608551
43,Pattern,0.5630630254745483
43,Fictional character,0.5279175639152527
43,Artwork,0.5229488015174866
44,Sketch,0.9169636964797974
44,Drawing,0.9055202007293701
44,Head,0.8842743635177612
44,Hand,0.6969173550605774
44,Illustration,0.6912711262702942
44,Art,0.6253476738929749
44,Pattern,0.5630630254745483
44,Facial hair,0.5552889108657837
44,Fictional character,0.5279175639152527
44,Artwork,0.5229488015174866
45,Sketch,0.8954664468765259
45,Drawing,0.8805356025695801
45,Yellow,0.8363301753997803
45,Design,0.7203227281570435
45,Illustration,0.6402102112770081
45,Pattern,0.6189838647842407
45,Art,0.5813031792640686
45,Rock,0.5422748923301697
46,Sketch,0.8463684320449829
46,Drawing,0.8358637690544128
46,Design,0.7203227281570435
46,Pattern,0.6189838647842407
46,Illustration,0.6017356514930725
46,Wood,0.5958532094955444
46,Art,0.5813031792640686
46,Rock,0.5422748923301697
47,Sketch,0.8382502198219299
47,Drawing,0.828284502029419
47,Illustration,0.6225569844245911
47,Art,0.5813031792640686
47,Rock,0.5422748923301697
47,Fictional character,0.5279175639152527
48,Drawing,0.8553162813186646
48,Sketch,0.8502956032752991
48,Illustration,0.6554555892944336
48,Art,0.5813031792640686
48,Pattern,0.5630630254745483
48,Fictional character,0.5279175639152527
49,Sketch,0.8541415333747864
49,Drawing,0.8428384065628052
49,Illustration,0.6806615591049194
49,Wood,0.6534817218780518
49,Art,0.5813031792640686
49,Pattern,0.5630630254745483
49,Fictional character,0.5279175639152527
50,Drawing,0.8609514236450195
50,Sketch,0.839629054069519
50,Illustration,0.6806615591049194
50,Wood,0.5958532094955444
50,Art,0.5813031792640686
50,Pattern,0.5630630254745483
50,Fictional character,0.5279175639152527
51,Drawing,0.8692909479141235
51,Sketch,0.8640356659889221
51,Illustration,0.6225569844245911
51,Wood,0.5958532094955444
51,Pattern,0.5630630254745483
51,Trunk,0.5200017690658569
52,Sketch,0.8223191499710083
52,Drawing,0.8199871778488159
52,Wood,0.6534817218780518
52,Illustration,0.6017356514930725
52,Pattern,0.5630630254745483
53,Drawing,0.8006102442741394
53,Sketch,0.7960912585258484
53,Illustration,0.6806615591049194
53,Wood,0.5958532094955444
53,Art,0.5813031792640686
53,Pattern,0.5630630254745483
54,Sketch,0.8177047967910767
54,Drawing,0.8146051168441772
54,Illustration,0.6225569844245911
54,Art,0.5813031792640686
54,Pattern,0.5630630254745483
55,Sketch,0.8591513633728027
55,Drawing,0.852958083152771
55,Rock,0.6981205940246582
55,Illustration,0.6225569844245911
55,Trunk,0.6207850575447083
55,Wood,0.5958532094955444
55,Pattern,0.5630630254745483
56,Drawing,0.828284502029419
56,Sketch,0.814556896686554
56,Illustration,0.6554555892944336
56,Rock,0.6438128352165222
56,Wood,0.5958532094955444
56,Art,0.5813031792640686
56,Pattern,0.5630630254745483
56,Trunk,0.5469489693641663
56,Fictional character,0.5279175639152527
57,Sketch,0.8603838086128235
57,Drawing,0.8454797267913818
57,Design,0.7203227281570435
57,Pattern,0.6189838647842407
57,Illustration,0.6017356514930725
57,Wood,0.5958532094955444
57,Art,0.5813031792640686
57,Trunk,0.5200017690658569
58,Sketch,0.8579110503196716
58,Drawing,0.8480438590049744
58,Tree,0.7469744682312012
58,Rock,0.6438128352165222
58,Illustration,0.6402102112770081
58,Trunk,0.6341295838356018
58,Branch,0.6203985214233398
58,Pattern,0.6189838647842407
58,Wood,0.5958532094955444
59,Sketch,0.8768982887268066
59,Drawing,0.8587399125099182
59,Tree,0.7469744682312012
59,Wood,0.6917140483856201
59,Trunk,0.6670812368392944
59,Illustration,0.6554555892944336
59,Rock,0.6438128352165222
59,Pattern,0.5630630254745483
